origin,factor_id,factor_label,unit,iso2,country,value,year,source,url,note,status
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,CZ,Czechia,0.13,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,DE,Germany,0.1,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,DK,Denmark,0.25,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,EE,Estonia,0.15,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,EG,Egypt,0.06,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,ES,Spain,0.23,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,FI,Finland,0.16,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,FR,France,0.27,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,GB,United Kingdom,0.14,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,GR,Greece,0.1,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,HU,Hungary,0.14,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,IE,Ireland,0.2,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,IL,Israel,0.21,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,IS,Iceland,0.3,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,IT,Italy,0.12,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,LT,Lithuania,0.14,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,LU,Luxembourg,0.19,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,LV,Latvia,0.11,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,MA,Morocco,0.06,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,NL,Netherlands,0.16,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,NO,Norway,0.17,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,PL,Poland,0.13,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,PT,Portugal,0.17,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,QA,Qatar,0.21,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,RO,Romania,0.18,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,SA,Saudi Arabia,0.09,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,SE,Sweden,0.22,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,TN,Tunisia,0.04,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
curated,bandwidth_gbps,Median fixed-broadband download speed,Gbps,TR,Türkiye,0.08,2024,Ookla Speedtest Global Index,https://www.speedtest.net/global-index,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,AE,United Arab Emirates,467.51,2024,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,AT,Austria,116.91,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,BE,Belgium,149.82,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,BG,Bulgaria,275.55,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,BH,Bahrain,902.24,2024,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,CH,Switzerland,39.22,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,CY,Cyprus,489.0,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,CZ,Czechia,401.46,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,DE,Germany,329.65,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,DK,Denmark,114.41,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,DZ,Algeria,632.94,2024,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,EE,Estonia,319.15,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,EG,Egypt,563.23,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,ES,Spain,153.6,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,FI,Finland,57.47,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,FR,France,41.44,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,GB,United Kingdom,217.41,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,GR,Greece,315.09,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,HR,Croatia,158.5,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,HU,Hungary,163.02,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,IE,Ireland,256.54,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,IL,Israel,492.69,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,IS,Iceland,27.82,2024,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,IT,Italy,284.78,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,JO,Jordan,529.79,2024,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,KW,Kuwait,635.31,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,LT,Lithuania,138.36,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,LU,Luxembourg,123.38,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,LV,Latvia,138.76,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,MA,Morocco,596.4,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,MT,Malta,484.02,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,NL,Netherlands,253.56,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,NO,Norway,28.11,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,OM,Oman,544.47,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,PL,Poland,588.6,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,PT,Portugal,127.91,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,QA,Qatar,581.52,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,RO,Romania,250.75,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,RS,Serbia,695.8,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,SA,Saudi Arabia,691.95,2024,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,SE,Sweden,35.26,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,SI,Slovenia,183.29,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,SK,Slovakia,94.85,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,TN,Tunisia,560.29,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
api_fetch,carbon_intensity_gco2_kwh,Grid carbon intensity,gCO2/kWh,TR,Türkiye,474.74,2025,Our World in Data (Ember 'Carbon intensity of electricity'),https://ourworldindata.org/grapher/carbon-intensity-electricity,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,AE,United Arab Emirates,9500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Dubai,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,AT,Austria,10000000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Vienna,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,BE,Belgium,10500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Brussels,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,CH,Switzerland,14000000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Zurich (most expensive globally),https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,CZ,Czechia,8500000.0,2024,Turner & Townsend DC Cost Index 2024 — Prague,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,DE,Germany,11000000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Frankfurt,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,DK,Denmark,10500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Copenhagen,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,EG,Egypt,7000000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Cairo,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,ES,Spain,9500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Madrid,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,FI,Finland,10000000.0,2024,Turner & Townsend DC Cost Index 2024 — Helsinki,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,FR,France,10500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Paris,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,GB,United Kingdom,11500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — London/Slough,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,GR,Greece,8500000.0,2024,Turner & Townsend DC Cost Index 2024 — Athens,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,HU,Hungary,8000000.0,2024,Turner & Townsend DC Cost Index 2024 — Budapest,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,IE,Ireland,12500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Dublin,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,IL,Israel,10000000.0,2024,Turner & Townsend DC Cost Index 2024 — Tel Aviv,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,IT,Italy,9500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Milan,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,LU,Luxembourg,11000000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Luxembourg,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,MA,Morocco,7000000.0,2024,Turner & Townsend DC Cost Index 2024 — Casablanca,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,NL,Netherlands,11000000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Amsterdam,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,NO,Norway,10500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Oslo,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,PL,Poland,8500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Warsaw,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,PT,Portugal,9000000.0,2024,Turner & Townsend DC Cost Index 2024 — Lisbon,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,QA,Qatar,9500000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Doha,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,RO,Romania,7500000.0,2024,Turner & Townsend DC Cost Index 2024 — Bucharest,https://www.turnerandtownsend.com/,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,SA,Saudi Arabia,9000000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Riyadh,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,SE,Sweden,10000000.0,2024,Cushman & Wakefield Global DC Construction Cost Guide 2024 — Stockholm,https://www.cushmanwakefield.com/en/insights/global-data-center-construction-cost-guide,,pending
curated,construction_cost_usd_mw,DC build cost per MW,USD/MW,TR,Türkiye,7500000.0,2024,Turner & Townsend DC Cost Index 2024 — Istanbul,https://www.turnerandtownsend.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,AE,United Arab Emirates,350,2025,Cushman & Wakefield Global DC Market H1 2025 + JLL EMEA Data Centres Q1 2025 (national totals),https://www.cushmanwakefield.com/en/insights/global-data-center-market-comparison,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,AT,Austria,110,2024,datacentermap.com — Vienna,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,BE,Belgium,110,2024,datacentermap.com — Brussels,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,BH,Bahrain,50,2024,datacentermap.com + AWS Bahrain Region,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,CH,Switzerland,200,2024,Cushman & Wakefield Global DC Market 2024 — Zurich,https://www.cushmanwakefield.com/en/insights/global-data-center-market-comparison,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,CZ,Czechia,75,2024,datacentermap.com — Prague,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,DE,Germany,980,2025,Cushman & Wakefield Global DC Market H1 2025 + JLL EMEA Data Centres Q1 2025 (national totals),https://www.cushmanwakefield.com/en/insights/global-data-center-market-comparison,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,DK,Denmark,250,2024,JLL EMEA Data Centres Q4 2024 — Copenhagen + hyperscale campuses,https://www.jll.com/en/insights,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,EE,Estonia,25,2024,datacentermap.com — Tallinn,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,EG,Egypt,50,2024,datacentermap.com — Cairo,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,ES,Spain,280,2024,JLL EMEA Data Centres Q4 2024 — Madrid emerging market,https://www.jll.com/en/insights,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,FI,Finland,130,2024,datacentermap.com + Google Hamina campus + Microsoft Espoo,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,FR,France,550,2024,Cushman & Wakefield Global DC Market 2024 — Paris cluster,https://www.cushmanwakefield.com/en/insights/global-data-center-market-comparison,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,GB,United Kingdom,1400,2025,Cushman & Wakefield Global DC Market H1 2025 + JLL EMEA Data Centres Q1 2025 (national totals),https://www.cushmanwakefield.com/en/insights/global-data-center-market-comparison,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,GR,Greece,35,2024,datacentermap.com — Athens emerging,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,IE,Ireland,1150,2025,Cushman & Wakefield Global DC Market H1 2025 + JLL EMEA Data Centres Q1 2025 (national totals),https://www.cushmanwakefield.com/en/insights/global-data-center-market-comparison,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,IL,Israel,70,2024,datacentermap.com — Tel Aviv,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,IT,Italy,220,2024,JLL EMEA Data Centres Q4 2024 — Milan emerging market,https://www.jll.com/en/insights,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,LU,Luxembourg,90,2024,datacentermap.com + LuxConnect public reporting,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,MA,Morocco,35,2024,datacentermap.com — Casablanca,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,NL,Netherlands,850,2025,Cushman & Wakefield Global DC Market H1 2025 + JLL EMEA Data Centres Q1 2025 (national totals),https://www.cushmanwakefield.com/en/insights/global-data-center-market-comparison,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,NO,Norway,130,2024,datacentermap.com + Statkraft hyperscale partnership announcements,https://www.datacentermap.com/,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,PL,Poland,130,2024,JLL EMEA Data Centres Q4 2024 — Warsaw emerging cluster,https://www.jll.com/en/insights,,pending
curated,dc_capacity_live_mw,Operational DC capacity,MW,PT,Portugal,80,2024,datacentermap.com + Start Campus Sines announcement,https://www.datacentermap.com/,,pending
